Unnamed: 0,title,year,kind,genre,rating,vote,country,language,cast,director,composer,writer,runtime
7465,Broken Paths 142,2010,movie,Romance,1.6,9289,USA,German,"Emma Watson, Scarlett Johansson, Amitabh Bachchan",Rajkumar Hirani,John Williams,Raju Murugan,178
7466,Broken Paths 464,1984,tv series,Thriller,7.4,21787,UK,Spanish,"John Smith, Chris Evans, Amitabh Bachchan",Rajkumar Hirani,Hans Zimmer,Raju Murugan,133
7467,Golden Dreams 460,1989,movie,Thriller,5.1,38527,UK,French,"John Smith, Scarlett Johansson, Chris Evans",Steven Spielberg,John Williams,Aaron Sorkin,179
7468,Shadow Rise 397,2019,movie,Thriller,5.7,13899,USA,English,"Amitabh Bachchan, John Smith, Emma Watson",Rajkumar Hirani,A R Rahman,Aaron Sorkin,138
7469,Broken Paths 225,1994,movie,Drama,4.3,89541,UK,Spanish,"John Smith, Scarlett Johansson, Chris Evans",James Cameron,A R Rahman,Quentin Tarantino,166
7470,The Last Journey 418,1993,tv series,Action,6.6,56187,USA,Hindi,"Emma Watson, Chris Evans, Amitabh Bachchan",Steven Spielberg,John Williams,Quentin Tarantino,69
7471,Broken Paths 76,2011,movie,Romance,9.3,37485,Canada,German,"John Smith, Emma Watson, Amitabh Bachchan",James Cameron,Hans Zimmer,Aaron Sorkin,104
7472,Golden Dreams 253,2004,tv series,Drama,9.2,1911,Canada,German,"John Smith, Emma Watson, Amitabh Bachchan",Rajkumar Hirani,Hans Zimmer,Quentin Tarantino,102
7473,Golden Dreams 54,2006,movie,Action,4.6,1490,Canada,French,"Amitabh Bachchan, Emma Watson, Scarlett Johansson",Rajkumar Hirani,A R Rahman,Quentin Tarantino,128
7474,Golden Dreams 242,1983,movie,Drama,3.2,72921,Canada,German,"John Smith, Chris Evans, Amitabh Bachchan",Steven Spielberg,John Williams,Aaron Sorkin,162
7475,The Last Journey 292,1984,movie,Romance,1.4,17910,India,German,"John Smith, Chris Evans, Amitabh Bachchan",Christopher Nolan,John Williams,Aaron Sorkin,123
7476,Shadow Rise 395,2010,tv series,Comedy,3.4,83845,USA,German,"Scarlett Johansson, Chris Evans, John Smith",James Cameron,John Williams,Aaron Sorkin,131
7477,The Last Journey 336,1987,tv series,Action,5.7,85321,India,French,"Chris Evans, John Smith, Emma Watson",Christopher Nolan,A R Rahman,Aaron Sorkin,145
7478,Silent Night 499,1996,movie,Action,8.8,79900,USA,German,"Amitabh Bachchan, Scarlett Johansson, Chris Evans",Christopher Nolan,A R Rahman,Quentin Tarantino,149
7479,Broken Paths 180,1987,tv series,Romance,4.7,59607,India,English,"John Smith, Amitabh Bachchan, Emma Watson",James Cameron,John Williams,Raju Murugan,136
7480,Broken Paths 299,1989,movie,Action,1.9,37775,India,English,"Scarlett Johansson, Amitabh Bachchan, Emma Watson",Christopher Nolan,John Williams,Quentin Tarantino,114
7481,Shadow Rise 106,1980,movie,Action,4.1,28457,India,French,"Chris Evans, Scarlett Johansson, Amitabh Bachchan",Rajkumar Hirani,Hans Zimmer,Raju Murugan,108
7482,Golden Dreams 375,2004,tv series,Drama,3.7,44908,Australia,French,"Emma Watson, Amitabh Bachchan, John Smith",James Cameron,Hans Zimmer,Quentin Tarantino,64
7483,Broken Paths 239,2003,movie,Comedy,9.8,26046,UK,French,"Amitabh Bachchan, Emma Watson, Chris Evans",Rajkumar Hirani,John Williams,Raju Murugan,102
7484,Broken Paths 478,1993,tv series,Drama,3.4,60340,Australia,German,"Chris Evans, Emma Watson, Scarlett Johansson",James Cameron,A R Rahman,Raju Murugan,78
7485,Silent Night 66,2024,tv series,Thriller,1.7,65669,India,Hindi,"Chris Evans, Amitabh Bachchan, Emma Watson",Christopher Nolan,Hans Zimmer,Quentin Tarantino,145
7486,Broken Paths 15,1991,movie,Comedy,6.1,69059,Canada,Spanish,"Amitabh Bachchan, John Smith, Chris Evans",Steven Spielberg,John Williams,Aaron Sorkin,77
7487,Broken Paths 399,2004,movie,Thriller,8.7,45210,India,French,"Emma Watson, Scarlett Johansson, Chris Evans",James Cameron,John Williams,Raju Murugan,138
7488,Broken Paths 427,2014,movie,Thriller,1.2,82286,Canada,German,"Scarlett Johansson, Emma Watson, Amitabh Bachchan",Christopher Nolan,Hans Zimmer,Raju Murugan,82
7489,The Last Journey 331,2025,tv series,Drama,6.3,44368,USA,German,"Scarlett Johansson, John Smith, Amitabh Bachchan",James Cameron,A R Rahman,Raju Murugan,162
7490,Golden Dreams 321,1998,movie,Thriller,2.5,63150,Australia,French,"Emma Watson, Scarlett Johansson, John Smith",Rajkumar Hirani,A R Rahman,Aaron Sorkin,128
7491,Golden Dreams 276,2021,tv series,Drama,7.4,60852,India,Spanish,"Chris Evans, Scarlett Johansson, Amitabh Bachchan",James Cameron,A R Rahman,Aaron Sorkin,115
7492,The Last Journey 377,1996,tv series,Thriller,2.0,39463,USA,Hindi,"Chris Evans, Scarlett Johansson, Amitabh Bachchan",Steven Spielberg,A R Rahman,Aaron Sorkin,121
7493,Shadow Rise 179,2006,movie,Drama,5.3,13368,India,French,"Amitabh Bachchan, John Smith, Scarlett Johansson",Christopher Nolan,A R Rahman,Raju Murugan,154
7494,Shadow Rise 490,1986,tv series,Thriller,1.6,13198,India,French,"Chris Evans, John Smith, Scarlett Johansson",James Cameron,Hans Zimmer,Raju Murugan,155
7495,Broken Paths 26,2022,tv series,Comedy,8.6,24637,India,German,"Scarlett Johansson, Emma Watson, Amitabh Bachchan",Christopher Nolan,John Williams,Raju Murugan,120
7496,Silent Night 160,2008,tv series,Romance,8.0,68283,India,French,"Emma Watson, Amitabh Bachchan, Chris Evans",Steven Spielberg,John Williams,Quentin Tarantino,132
7497,Silent Night 80,2000,movie,Thriller,7.9,64748,USA,German,"Amitabh Bachchan, Scarlett Johansson, Emma Watson",Christopher Nolan,John Williams,Raju Murugan,138
7498,Shadow Rise 334,2024,movie,Action,5.6,7535,India,English,"Amitabh Bachchan, Chris Evans, John Smith",Rajkumar Hirani,Hans Zimmer,Quentin Tarantino,124
7499,Silent Night 383,2021,movie,Action,2.6,29886,Australia,English,"Amitabh Bachchan, Chris Evans, Emma Watson",Rajkumar Hirani,John Williams,Quentin Tarantino,139
7500,Broken Paths 327,2010,movie,Thriller,6.9,66676,USA,Hindi,"Chris Evans, Scarlett Johansson, Amitabh Bachchan",James Cameron,John Williams,Raju Murugan,161
7501,Shadow Rise 67,2004,tv series,Comedy,2.2,12929,India,English,"Scarlett Johansson, Amitabh Bachchan, John Smith",Rajkumar Hirani,A R Rahman,Raju Murugan,141
7502,Golden Dreams 486,1980,movie,Thriller,8.1,29305,India,Hindi,"Amitabh Bachchan, Chris Evans, Scarlett Johansson",Steven Spielberg,John Williams,Quentin Tarantino,125
7503,Shadow Rise 306,2014,movie,Comedy,7.5,39576,Australia,Spanish,"Emma Watson, Scarlett Johansson, Chris Evans",James Cameron,Hans Zimmer,Quentin Tarantino,91
7504,Broken Paths 241,2010,movie,Thriller,4.1,5388,Australia,French,"Chris Evans, Amitabh Bachchan, John Smith",James Cameron,John Williams,Raju Murugan,127
7505,Broken Paths 192,2024,movie,Comedy,3.6,74112,India,English,"Amitabh Bachchan, Emma Watson, John Smith",Steven Spielberg,Hans Zimmer,Raju Murugan,144
7506,Golden Dreams 295,1982,movie,Comedy,3.3,59272,Canada,Spanish,"Amitabh Bachchan, Chris Evans, Scarlett Johansson",Christopher Nolan,A R Rahman,Aaron Sorkin,179
7507,The Last Journey 497,2023,movie,Comedy,3.6,93192,USA,English,"John Smith, Emma Watson, Scarlett Johansson",Christopher Nolan,A R Rahman,Quentin Tarantino,108
7508,Broken Paths 26,1994,tv series,Drama,6.1,14812,UK,German,"Amitabh Bachchan, Emma Watson, John Smith",Steven Spielberg,Hans Zimmer,Quentin Tarantino,153
7509,Silent Night 422,2007,tv series,Action,4.4,13475,Canada,Hindi,"Emma Watson, John Smith, Chris Evans",Steven Spielberg,John Williams,Aaron Sorkin,149
7510,Silent Night 216,1981,tv series,Drama,5.8,34249,USA,French,"Amitabh Bachchan, Scarlett Johansson, Emma Watson",Rajkumar Hirani,Hans Zimmer,Quentin Tarantino,125
7511,Shadow Rise 239,1980,movie,Drama,1.4,43829,Australia,German,"Scarlett Johansson, John Smith, Emma Watson",Christopher Nolan,A R Rahman,Aaron Sorkin,143
7512,Shadow Rise 243,2001,tv series,Action,8.7,46565,Australia,Hindi,"John Smith, Chris Evans, Emma Watson",James Cameron,A R Rahman,Aaron Sorkin,122
7513,Broken Paths 239,2008,tv series,Drama,1.6,83546,UK,Hindi,"Chris Evans, Amitabh Bachchan, Scarlett Johansson",Rajkumar Hirani,John Williams,Quentin Tarantino,138
7514,Broken Paths 108,1990,movie,Thriller,4.2,35670,India,Hindi,"John Smith, Chris Evans, Emma Watson",Steven Spielberg,Hans Zimmer,Raju Murugan,62
7515,Broken Paths 7,2007,movie,Action,5.2,25577,Canada,English,"Amitabh Bachchan, Emma Watson, John Smith",Christopher Nolan,Hans Zimmer,Quentin Tarantino,149
7516,The Last Journey 48,1998,movie,Action,7.2,87047,India,English,"Emma Watson, Scarlett Johansson, Amitabh Bachchan",Christopher Nolan,John Williams,Aaron Sorkin,121
7517,The Last Journey 466,1996,tv series,Action,3.9,81134,USA,Spanish,"Amitabh Bachchan, Emma Watson, Chris Evans",Christopher Nolan,A R Rahman,Aaron Sorkin,81
7518,Golden Dreams 490,1998,movie,Action,9.3,56396,USA,English,"John Smith, Scarlett Johansson, Emma Watson",Steven Spielberg,Hans Zimmer,Quentin Tarantino,166
7519,Golden Dreams 224,1983,tv series,Comedy,7.1,70442,Australia,Spanish,"Amitabh Bachchan, Scarlett Johansson, Emma Watson",Rajkumar Hirani,Hans Zimmer,Raju Murugan,100
7520,Golden Dreams 55,1987,movie,Comedy,6.5,29962,Australia,German,"John Smith, Scarlett Johansson, Emma Watson",Steven Spielberg,John Williams,Quentin Tarantino,110
7521,Shadow Rise 188,1990,tv series,Thriller,9.2,63218,UK,English,"Scarlett Johansson, Amitabh Bachchan, Chris Evans",James Cameron,John Williams,Aaron Sorkin,82
7522,Golden Dreams 172,2008,movie,Thriller,6.9,15224,USA,Hindi,"Emma Watson, Amitabh Bachchan, John Smith",James Cameron,Hans Zimmer,Raju Murugan,72
7523,The Last Journey 447,2018,tv series,Drama,8.4,33760,India,English,"Scarlett Johansson, Chris Evans, Amitabh Bachchan",James Cameron,John Williams,Quentin Tarantino,167
7524,The Last Journey 97,2021,movie,Action,5.6,74717,USA,English,"Emma Watson, Scarlett Johansson, Chris Evans",James Cameron,John Williams,Raju Murugan,97
7525,The Last Journey 225,2018,tv series,Comedy,2.4,88961,UK,Hindi,"Chris Evans, Scarlett Johansson, Amitabh Bachchan",James Cameron,A R Rahman,Aaron Sorkin,168
7526,Golden Dreams 422,1982,tv series,Drama,3.6,68549,Canada,Spanish,"Scarlett Johansson, Chris Evans, Amitabh Bachchan",Rajkumar Hirani,Hans Zimmer,Aaron Sorkin,119
7527,Golden Dreams 338,2008,movie,Romance,4.1,96705,UK,French,"John Smith, Amitabh Bachchan, Emma Watson",Christopher Nolan,A R Rahman,Aaron Sorkin,154
7528,Golden Dreams 142,1997,movie,Drama,3.9,74447,USA,English,"Emma Watson, Amitabh Bachchan, Scarlett Johansson",Steven Spielberg,John Williams,Aaron Sorkin,121
7529,Silent Night 178,2012,movie,Romance,8.8,63115,USA,Hindi,"Chris Evans, Emma Watson, Amitabh Bachchan",Rajkumar Hirani,John Williams,Raju Murugan,92
7530,Broken Paths 137,2019,movie,Thriller,2.3,24225,UK,English,"John Smith, Chris Evans, Amitabh Bachchan",Steven Spielberg,A R Rahman,Raju Murugan,72
7531,Silent Night 4,2008,movie,Drama,5.0,20845,Canada,Hindi,"John Smith, Amitabh Bachchan, Chris Evans",Christopher Nolan,John Williams,Raju Murugan,177
7532,Broken Paths 89,1995,tv series,Romance,4.0,99545,UK,French,"Emma Watson, Amitabh Bachchan, Scarlett Johansson",James Cameron,John Williams,Raju Murugan,111
7533,Silent Night 255,2008,movie,Romance,6.8,65401,Canada,German,"Chris Evans, Amitabh Bachchan, Scarlett Johansson",James Cameron,Hans Zimmer,Raju Murugan,120
7534,Broken Paths 469,2014,tv series,Thriller,5.1,90242,India,English,"Amitabh Bachchan, John Smith, Scarlett Johansson",James Cameron,A R Rahman,Raju Murugan,62
7535,Broken Paths 427,1998,tv series,Comedy,9.5,88960,Canada,Hindi,"Scarlett Johansson, Chris Evans, Amitabh Bachchan",Steven Spielberg,A R Rahman,Quentin Tarantino,126
7536,Shadow Rise 446,2005,tv series,Romance,1.7,3460,Canada,German,"John Smith, Scarlett Johansson, Amitabh Bachchan",Rajkumar Hirani,Hans Zimmer,Aaron Sorkin,60
7537,Broken Paths 247,1995,movie,Thriller,6.0,46648,Australia,German,"John Smith, Emma Watson, Scarlett Johansson",Rajkumar Hirani,John Williams,Aaron Sorkin,91
7538,The Last Journey 108,2009,tv series,Action,1.7,47431,Canada,Spanish,"Emma Watson, Scarlett Johansson, John Smith",Steven Spielberg,John Williams,Quentin Tarantino,99
7539,Silent Night 115,2013,tv series,Drama,8.9,43180,India,Spanish,"Chris Evans, Emma Watson, Scarlett Johansson",Steven Spielberg,John Williams,Quentin Tarantino,68
7540,Silent Night 493,2005,tv series,Drama,6.7,6459,Australia,French,"Scarlett Johansson, Chris Evans, Amitabh Bachchan",Christopher Nolan,John Williams,Raju Murugan,175
7541,Shadow Rise 122,1980,tv series,Comedy,2.2,92412,USA,French,"Amitabh Bachchan, Scarlett Johansson, John Smith",Christopher Nolan,A R Rahman,Aaron Sorkin,109
7542,The Last Journey 300,1990,movie,Thriller,1.8,71710,UK,German,"Amitabh Bachchan, Scarlett Johansson, John Smith",James Cameron,John Williams,Quentin Tarantino,150
7543,Golden Dreams 475,2003,tv series,Thriller,8.5,16931,India,English,"Emma Watson, Scarlett Johansson, Chris Evans",James Cameron,John Williams,Aaron Sorkin,152
7544,Golden Dreams 275,1989,tv series,Romance,3.0,74078,Australia,English,"Amitabh Bachchan, John Smith, Emma Watson",Steven Spielberg,Hans Zimmer,Quentin Tarantino,174
7545,Broken Paths 444,2011,movie,Action,9.4,20473,Australia,German,"Amitabh Bachchan, Scarlett Johansson, Emma Watson",Christopher Nolan,A R Rahman,Quentin Tarantino,87
7546,Broken Paths 460,2013,movie,Comedy,8.1,48636,Australia,Spanish,"Chris Evans, Amitabh Bachchan, Emma Watson",Christopher Nolan,A R Rahman,Raju Murugan,155
7547,The Last Journey 473,1986,tv series,Romance,7.6,74388,Canada,German,"Scarlett Johansson, Chris Evans, Emma Watson",Steven Spielberg,Hans Zimmer,Quentin Tarantino,102
7548,Silent Night 346,1984,movie,Thriller,1.0,12354,USA,German,"Chris Evans, Emma Watson, John Smith",James Cameron,John Williams,Aaron Sorkin,90
7549,Broken Paths 1,2006,movie,Romance,1.0,68978,Canada,English,"Chris Evans, Scarlett Johansson, Emma Watson",Steven Spielberg,John Williams,Raju Murugan,126
7550,Broken Paths 293,1988,movie,Thriller,8.8,68872,India,Spanish,"Scarlett Johansson, Chris Evans, Amitabh Bachchan",Christopher Nolan,John Williams,Aaron Sorkin,166
7551,The Last Journey 281,2007,movie,Action,5.0,94333,Australia,French,"John Smith, Chris Evans, Amitabh Bachchan",Steven Spielberg,A R Rahman,Raju Murugan,173
7552,Shadow Rise 451,2025,tv series,Thriller,8.9,97124,UK,French,"Scarlett Johansson, Emma Watson, Chris Evans",James Cameron,Hans Zimmer,Quentin Tarantino,158
7553,Broken Paths 64,1985,tv series,Romance,5.8,92037,UK,Hindi,"Emma Watson, Scarlett Johansson, Amitabh Bachchan",Christopher Nolan,A R Rahman,Quentin Tarantino,102
7554,Shadow Rise 456,2015,tv series,Action,7.4,71562,India,Spanish,"Scarlett Johansson, John Smith, Amitabh Bachchan",Christopher Nolan,A R Rahman,Aaron Sorkin,133
7555,Broken Paths 453,1999,movie,Comedy,7.2,1249,UK,German,"Chris Evans, Amitabh Bachchan, John Smith",James Cameron,John Williams,Raju Murugan,165
7556,Broken Paths 124,2006,movie,Comedy,3.0,12437,India,Hindi,"John Smith, Amitabh Bachchan, Chris Evans",James Cameron,Hans Zimmer,Aaron Sorkin,121
7557,Silent Night 362,1998,tv series,Comedy,2.5,86156,UK,English,"Scarlett Johansson, Amitabh Bachchan, Emma Watson",Christopher Nolan,A R Rahman,Aaron Sorkin,148
7558,Broken Paths 447,2007,tv series,Comedy,9.3,44640,Australia,German,"Scarlett Johansson, Chris Evans, John Smith",Steven Spielberg,John Williams,Quentin Tarantino,111
7559,Golden Dreams 166,1999,tv series,Thriller,2.4,28085,India,German,"Amitabh Bachchan, Emma Watson, Chris Evans",Christopher Nolan,Hans Zimmer,Quentin Tarantino,142
7560,Golden Dreams 203,1981,tv series,Romance,2.9,75696,UK,French,"Emma Watson, Scarlett Johansson, Chris Evans",Steven Spielberg,Hans Zimmer,Quentin Tarantino,149
7561,Silent Night 430,2024,tv series,Comedy,5.0,24265,India,Spanish,"Chris Evans, John Smith, Scarlett Johansson",James Cameron,John Williams,Quentin Tarantino,139
7562,Silent Night 163,2020,movie,Action,9.2,44692,Australia,Spanish,"Amitabh Bachchan, Chris Evans, Scarlett Johansson",Christopher Nolan,A R Rahman,Quentin Tarantino,97
7563,Silent Night 466,1984,movie,Thriller,1.1,31420,Canada,English,"Amitabh Bachchan, Chris Evans, Emma Watson",Rajkumar Hirani,Hans Zimmer,Raju Murugan,112
7564,Silent Night 448,1997,tv series,Romance,8.8,58381,USA,French,"Emma Watson, Amitabh Bachchan, Scarlett Johansson",Steven Spielberg,A R Rahman,Aaron Sorkin,121
7565,Golden Dreams 191,2022,tv series,Romance,6.9,97502,India,German,"Emma Watson, Scarlett Johansson, Chris Evans",Rajkumar Hirani,Hans Zimmer,Aaron Sorkin,166
7566,Silent Night 395,1992,tv series,Comedy,4.7,65558,India,English,"Scarlett Johansson, Amitabh Bachchan, Emma Watson",James Cameron,Hans Zimmer,Quentin Tarantino,135
7567,Broken Paths 81,1996,tv series,Action,3.6,54343,UK,English,"Amitabh Bachchan, Scarlett Johansson, Emma Watson",Steven Spielberg,Hans Zimmer,Raju Murugan,127
7568,Broken Paths 206,1996,tv series,Drama,2.1,84677,USA,Spanish,"John Smith, Emma Watson, Amitabh Bachchan",James Cameron,A R Rahman,Quentin Tarantino,142
7569,Shadow Rise 441,1983,tv series,Thriller,7.4,46795,USA,Spanish,"Amitabh Bachchan, Emma Watson, Scarlett Johansson",James Cameron,Hans Zimmer,Raju Murugan,180
7570,Golden Dreams 106,2016,tv series,Drama,5.2,35191,UK,Hindi,"Emma Watson, Chris Evans, Scarlett Johansson",Christopher Nolan,John Williams,Quentin Tarantino,149
7571,Golden Dreams 353,2022,tv series,Thriller,9.1,63217,Australia,French,"Scarlett Johansson, Emma Watson, Chris Evans",Steven Spielberg,A R Rahman,Quentin Tarantino,153
7572,Golden Dreams 135,2014,movie,Action,2.1,59309,UK,German,"John Smith, Emma Watson, Amitabh Bachchan",Rajkumar Hirani,John Williams,Quentin Tarantino,88
7573,Golden Dreams 286,2004,tv series,Action,4.2,86979,Australia,French,"Scarlett Johansson, Emma Watson, Amitabh Bachchan",Rajkumar Hirani,John Williams,Aaron Sorkin,95
7574,Broken Paths 341,2011,tv series,Thriller,9.1,77140,USA,Hindi,"Emma Watson, Chris Evans, John Smith",Steven Spielberg,Hans Zimmer,Raju Murugan,104
7575,Shadow Rise 420,2001,movie,Comedy,5.8,80933,Australia,Hindi,"John Smith, Chris Evans, Scarlett Johansson",Steven Spielberg,Hans Zimmer,Quentin Tarantino,163
7576,Golden Dreams 316,1995,movie,Drama,1.6,38191,India,Spanish,"Amitabh Bachchan, Scarlett Johansson, Emma Watson",Christopher Nolan,John Williams,Raju Murugan,123
7577,Silent Night 319,1988,movie,Action,4.0,52040,USA,Spanish,"Amitabh Bachchan, Emma Watson, Scarlett Johansson",Steven Spielberg,A R Rahman,Raju Murugan,96
7578,The Last Journey 36,2010,tv series,Romance,4.5,65579,Canada,Hindi,"Amitabh Bachchan, Scarlett Johansson, Emma Watson",James Cameron,John Williams,Aaron Sorkin,133
7579,Silent Night 24,2015,movie,Action,7.7,50561,Canada,English,"Chris Evans, John Smith, Emma Watson",Steven Spielberg,A R Rahman,Quentin Tarantino,128
7580,Silent Night 286,1990,movie,Drama,1.1,87326,Australia,English,"Emma Watson, Amitabh Bachchan, John Smith",Steven Spielberg,John Williams,Quentin Tarantino,98
7581,Broken Paths 349,1985,movie,Thriller,2.2,46041,Canada,Hindi,"Chris Evans, Emma Watson, John Smith",Christopher Nolan,John Williams,Aaron Sorkin,87
7582,The Last Journey 110,2003,movie,Thriller,3.3,74622,USA,Spanish,"John Smith, Amitabh Bachchan, Emma Watson",James Cameron,A R Rahman,Quentin Tarantino,121
7583,Broken Paths 448,2025,tv series,Romance,7.6,75828,USA,Spanish,"Emma Watson, Chris Evans, Amitabh Bachchan",James Cameron,Hans Zimmer,Raju Murugan,133
7584,Golden Dreams 65,1985,movie,Drama,8.6,62352,Canada,French,"Scarlett Johansson, Chris Evans, Emma Watson",Rajkumar Hirani,A R Rahman,Quentin Tarantino,149
7585,Broken Paths 41,2016,tv series,Romance,7.6,68587,USA,Spanish,"Scarlett Johansson, John Smith, Amitabh Bachchan",James Cameron,John Williams,Aaron Sorkin,167
7586,Golden Dreams 480,1992,tv series,Thriller,2.1,30129,USA,English,"Chris Evans, Emma Watson, Amitabh Bachchan",James Cameron,A R Rahman,Raju Murugan,144
7587,Golden Dreams 370,2014,tv series,Romance,3.5,40652,UK,Spanish,"Emma Watson, Scarlett Johansson, Amitabh Bachchan",James Cameron,John Williams,Raju Murugan,134
7588,Shadow Rise 38,1995,tv series,Thriller,1.2,73985,Canada,Hindi,"Chris Evans, Amitabh Bachchan, John Smith",Steven Spielberg,Hans Zimmer,Raju Murugan,129
7589,Broken Paths 83,1984,movie,Action,4.7,96729,Australia,Spanish,"Amitabh Bachchan, Scarlett Johansson, Chris Evans",Rajkumar Hirani,John Williams,Quentin Tarantino,142
7590,Silent Night 154,2013,movie,Action,4.5,56295,Canada,English,"John Smith, Amitabh Bachchan, Scarlett Johansson",Steven Spielberg,John Williams,Quentin Tarantino,106
7591,The Last Journey 439,1993,movie,Action,5.1,40745,UK,Hindi,"John Smith, Amitabh Bachchan, Scarlett Johansson",James Cameron,A R Rahman,Aaron Sorkin,148
7592,Silent Night 70,2001,movie,Romance,2.4,71762,Australia,German,"Emma Watson, Chris Evans, Scarlett Johansson",Christopher Nolan,John Williams,Quentin Tarantino,154
7593,The Last Journey 75,2022,tv series,Drama,6.1,87987,India,Spanish,"Amitabh Bachchan, John Smith, Emma Watson",Christopher Nolan,Hans Zimmer,Raju Murugan,171
7594,Broken Paths 500,2019,tv series,Drama,3.2,56199,USA,English,"Amitabh Bachchan, John Smith, Scarlett Johansson",Steven Spielberg,A R Rahman,Raju Murugan,94
7595,The Last Journey 362,1980,tv series,Comedy,1.6,8635,Australia,Spanish,"John Smith, Scarlett Johansson, Emma Watson",Christopher Nolan,A R Rahman,Aaron Sorkin,95
7596,Broken Paths 216,2011,movie,Thriller,8.3,22067,Australia,Spanish,"John Smith, Amitabh Bachchan, Chris Evans",James Cameron,A R Rahman,Raju Murugan,99
7597,Shadow Rise 127,1999,tv series,Thriller,3.0,75045,USA,French,"Chris Evans, Emma Watson, John Smith",Steven Spielberg,Hans Zimmer,Quentin Tarantino,129
7598,Broken Paths 250,1981,movie,Romance,2.3,82921,Canada,Hindi,"Emma Watson, John Smith, Chris Evans",Christopher Nolan,John Williams,Aaron Sorkin,93
7599,Silent Night 212,2018,movie,Comedy,2.3,34941,USA,English,"Amitabh Bachchan, Emma Watson, Scarlett Johansson",Christopher Nolan,John Williams,Raju Murugan,82
7600,Golden Dreams 305,2004,tv series,Action,6.4,89509,Canada,French,"Chris Evans, Scarlett Johansson, Emma Watson",Christopher Nolan,John Williams,Quentin Tarantino,94
7601,Silent Night 72,2025,tv series,Thriller,3.0,41074,Canada,German,"Emma Watson, Chris Evans, Scarlett Johansson",James Cameron,John Williams,Quentin Tarantino,99
7602,Silent Night 370,1999,tv series,Comedy,7.4,781,UK,Spanish,"Scarlett Johansson, Amitabh Bachchan, Chris Evans",Christopher Nolan,Hans Zimmer,Quentin Tarantino,118
7603,Shadow Rise 356,2025,tv series,Romance,4.0,25835,Australia,German,"Chris Evans, Amitabh Bachchan, Scarlett Johansson",Christopher Nolan,John Williams,Quentin Tarantino,173
7604,Silent Night 494,2000,movie,Romance,1.6,12857,USA,French,"John Smith, Chris Evans, Emma Watson",James Cameron,John Williams,Raju Murugan,71
7605,Golden Dreams 29,2013,tv series,Comedy,2.3,88579,India,French,"Emma Watson, Scarlett Johansson, John Smith",Christopher Nolan,A R Rahman,Aaron Sorkin,169
7606,Broken Paths 72,2001,movie,Action,5.5,15365,UK,Spanish,"John Smith, Emma Watson, Amitabh Bachchan",Rajkumar Hirani,John Williams,Raju Murugan,80
7607,Silent Night 328,2021,movie,Romance,9.8,29778,UK,Spanish,"Chris Evans, Amitabh Bachchan, Emma Watson",Rajkumar Hirani,Hans Zimmer,Aaron Sorkin,168
7608,Broken Paths 128,1987,tv series,Thriller,3.3,91101,Canada,Hindi,"John Smith, Amitabh Bachchan, Scarlett Johansson",Steven Spielberg,John Williams,Raju Murugan,75
7609,Silent Night 163,2007,tv series,Thriller,7.4,70310,India,French,"Chris Evans, Scarlett Johansson, John Smith",Rajkumar Hirani,Hans Zimmer,Raju Murugan,68
7610,The Last Journey 178,2015,movie,Thriller,4.3,90555,UK,French,"Amitabh Bachchan, Chris Evans, John Smith",James Cameron,John Williams,Raju Murugan,169
7611,Broken Paths 289,1987,tv series,Drama,4.7,70313,India,Spanish,"John Smith, Emma Watson, Chris Evans",Christopher Nolan,Hans Zimmer,Quentin Tarantino,166
7612,Golden Dreams 125,1983,tv series,Comedy,4.3,92813,USA,English,"John Smith, Chris Evans, Emma Watson",Steven Spielberg,A R Rahman,Raju Murugan,117
7613,The Last Journey 261,2009,movie,Thriller,3.5,56055,India,French,"Amitabh Bachchan, John Smith, Emma Watson",James Cameron,A R Rahman,Quentin Tarantino,66
7614,Shadow Rise 157,2024,tv series,Romance,1.8,86735,UK,Hindi,"Chris Evans, John Smith, Emma Watson",Steven Spielberg,A R Rahman,Quentin Tarantino,120
7615,Shadow Rise 106,1985,tv series,Comedy,5.8,88515,UK,German,"Chris Evans, John Smith, Amitabh Bachchan",Christopher Nolan,A R Rahman,Aaron Sorkin,122
7616,The Last Journey 10,1997,movie,Thriller,6.8,91129,USA,German,"John Smith, Emma Watson, Amitabh Bachchan",James Cameron,Hans Zimmer,Aaron Sorkin,164
7617,Broken Paths 137,2005,tv series,Drama,5.0,15300,UK,French,"Chris Evans, John Smith, Amitabh Bachchan",Rajkumar Hirani,John Williams,Raju Murugan,118
7618,Shadow Rise 175,1999,tv series,Comedy,2.1,83800,India,English,"Scarlett Johansson, John Smith, Emma Watson",James Cameron,Hans Zimmer,Aaron Sorkin,154
7619,Shadow Rise 320,2022,tv series,Romance,9.8,84390,India,French,"Scarlett Johansson, Chris Evans, Amitabh Bachchan",Rajkumar Hirani,John Williams,Quentin Tarantino,99
7620,Golden Dreams 498,1996,tv series,Action,1.9,91764,USA,German,"Chris Evans, John Smith, Scarlett Johansson",Rajkumar Hirani,Hans Zimmer,Quentin Tarantino,141
7621,Broken Paths 133,1991,tv series,Drama,7.5,3461,India,Spanish,"Amitabh Bachchan, John Smith, Emma Watson",Steven Spielberg,A R Rahman,Quentin Tarantino,83
7622,Shadow Rise 468,2020,tv series,Drama,7.9,23098,Australia,German,"Emma Watson, Scarlett Johansson, Chris Evans",Christopher Nolan,A R Rahman,Quentin Tarantino,116
